ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
24411767973,VGA CARD ASUS MSI SAPHIRE POWERCOLOR Radeon™ RX 6600 / RX 6600 XT 8GB DDR6,"3,2JT",470,anca komputer,2%,Rp63.000,https://shopee.co.id/product/383610491/24411767973,https://s.shopee.co.id/20rM1THYgh
42823278607,POCO X8 Pro Series | POCO X8 Pro Max (12GB/512GB)  (12GB+256GB) | POCO X8 Pro (12GB+512GB) (8GB+512GB) (8GB+256GB) | Dimensity 9500s* | 8500mAh (typ) battery dengan 100W HyperCharge* | HP Gaming [Xiaomi Official Store],"5,2JT",2RB+,Xiaomi Smart Home Official Store,"0,50%",Rp0,https://shopee.co.id/product/1632696269/42823278607,https://s.shopee.co.id/W2YEiNGjQ
26668151248,MLA J5 Helm Half Face Kaca Bening SNI - Black Glossy,"200,0RB",108,PRIMA STORAGE,35%,Rp70.000,https://shopee.co.id/product/329535946/26668151248,https://s.shopee.co.id/Lj82PNu4P
50755623104,[TOP 1] HUAWEI Band 11 Series | 1.62”AMOLED Display | Enhanced Sleep Tracking | Heart Health Management | Smartwatch-like | Android & iOS,"598,0RB",10RB+,Huawei Official Store,5%,Rp29.900,https://shopee.co.id/product/39372120/50755623104,https://s.shopee.co.id/BPhq6OXPO
7795622858,BARCODIA Printer Barcode Thermal Label XPrinter D4601B Usb Bluetooth,"959,0RB",1RB+,Barcodia Store Official store,1%,Rp9.590,https://shopee.co.id/product/295801959/7795622858,https://s.shopee.co.id/16HdnPAkN
27025391734,POCO X8 Pro Series | POCO X8 Pro Max (12GB/512GB)  (12GB+256GB) | POCO X8 Pro (12GB+512GB) (8GB+512GB) (8GB+256GB) | Dimensity 9500s* | 8500mAh (typ) battery dengan 100W HyperCharge* | HP Gaming [Xiaomi Official Store],"5,2JT",10RB+,POCO Official Store,"0,50%",Rp0,https://shopee.co.id/product/885639549/27025391734,https://s.shopee.co.id/1BIF1wKjNc
28953875914,Jam Tangan Rolex Original Cosmograph Daytona Koleksi Lengkap,"60,0JT",250,luxury  store,16%,Rp9.600.000,https://shopee.co.id/product/1192312179/28953875914,https://s.shopee.co.id/10yopdLMib
40109288039,APR Impact Wrench Jumbo AP33Promax+ 1850nm 1/2inch 2baterai 15cell 99v garansi resmi 5thn,"444,7RB",1RB+,APR JAPAN ID SHOP,6%,Rp26.683,https://shopee.co.id/product/965345399/40109288039,https://s.shopee.co.id/qfOdKM03a
20324976869,House of Smith Jaket Bomber Pria - Bomen Black #5,"190,9RB",10RB+,House Of Smith Official Shop,17%,Rp32.453,https://shopee.co.id/product/85434470/20324976869,https://s.shopee.co.id/gLyR1MdOZ
23984676552,Cuci Sale-Kingston HyperX SODIMM Laptop RAM DDR4 2400 2666 3200MHZ 4GB/8GB/16GB memory for notebook,"950,0RB",4RB+,xdmall.id,10%,Rp95.000,https://shopee.co.id/product/1056592570/23984676552,https://s.shopee.co.id/4VYh0482cK
